Accession	Peptide count	Peptides used for quantitation	Confidence score	Anova (p)	Max fold change	Fractions	Occurrences	HDIghest mean condDItDIon	Lowest mean condDItDIon	Description	DH_152	DH_226	DH_254	DH_292	DI_230	DI_250	DI_286	DI_288	ADK_T1_231	ADK_T1_290	ADK_T1_381	ADK_T1_525	ADK_T2_227	ADK_T2_287	ADK_T2_291	ADK_T2_338
Q07666;O75525	14	5	89.4053	0.070014696	20.91382259	1;2;4;5	4	ADK T1	DH	KH domain-containing, RNA-binding, signal transduction-associated protein 1 OS=Homo sapiens GN=KHDRBS1 PE=1 SV=1	90.13922882	544.3929194	10.87296958	0	450.4876	341.9512656	220.2997093	198.2910635	6648.866459	6313.379838	485.337681	50.30415245	585.7716241	578.2431496	471.471219	676.8842445
P23528	18	9	180.2228	0.070115401	5.983242308	1;2;3;4;5	5	ADK T1	DH	Cofilin-1 OS=Homo sapiens GN=CFL1 PE=1 SV=3	3681.718748	3104.120347	3929.747005	4271.789649	3245.174495	3007.911139	4578.190019	5074.124136	15891.63892	63737.90359	3610.253209	6433.304942	4455.985264	5959.498752	4439.571349	3819.860354
Q8NFJ9	4	1	29.0981	0.070327013	Infinity	4	1	DH	DI	Bardet-Biedl syndrome 1 protein OS=Homo sapiens GN=BBS1 PE=1 SV=1	7.879745592	96.63480436	5.419385485	30.99892954	0	0	0	0	0	34.35291616	23.22045149	0	47.35460811	0	0	0
Q9ULC3	16	3	103.5246	0.070978171	3.698840274	1;2;3;4;5	5	ADK T1	DI	Ras-related protein Rab-23 OS=Homo sapiens GN=RAB23 PE=1 SV=1	556.7173413	545.8602109	392.7448774	145.9200622	292.0408545	27.47990473	208.3516529	283.5399606	860.2049689	1212.664476	488.6003887	439.8149296	211.05021	59.42582235	366.1613423	268.6610393
O95470	2	1	11.1699	0.071039724	Infinity	3	1	ADK T1	DI	Sphingosine-1-phosphate lyase 1 OS=Homo sapiens GN=SGPL1 PE=1 SV=3	0	0	3.337082276	0	0	0	0	0	210.0918889	6.740872493	0	76.53896188	0	0	27.13674548	0
P23381	26	8	170.959	0.071324832	2.63437671	1;2;3;4;5	5	ADK T2	DI	Tryptophan--tRNA ligase, cytoplasmic OS=Homo sapiens GN=WARS PE=1 SV=2	1106.696873	2915.88936	1195.003826	707.5938845	1430.721909	1243.662434	583.0033168	1163.693795	2696.467096	5450.374066	839.9438942	2070.231355	2212.711373	3076.181775	3759.405625	2598.495246
O60504	13	8	65.2971	0.071701105	37.45247303	1;2;5	3	DH	ADK T1	Vinexin OS=Homo sapiens GN=SORBS3 PE=1 SV=2	32184.68791	473.8880588	13111.09407	1538.366281	11943.88873	807.5506504	2476.264172	111.6962982	859.9802468	153.0595946	67.16979131	182.9388989	5091.87843	3012.090009	836.4413509	2914.33823
Q8IX12	12	3	77.0035	0.072069048	Infinity	1;4	2	DH	DI	Cell division cycle and apoptosis regulator protein 1 OS=Homo sapiens GN=CCAR1 PE=1 SV=2	0	3.890831528	964.7228365	14191.25155	0	0	0	0	125.0060977	1467.478353	58.0341232	33.4304459	550.8289298	0	0	0
P02741	1	1	6.9601	0.07231393	63.01090501	5	1	DI	ADK T1	C-reactive protein OS=Homo sapiens GN=CRP PE=1 SV=1	628.3069681	315.8026205	0	0	243.9109589	47.92207483	373.6870102	598.9999888	5.985568839	0	0	14.08270399	0	0	100.1245223	0
Q92835	8	2	51.9425	0.07232244	3.517330063	2;3;4	3	ADK T2	ADK T1	Phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase 1 OS=Homo sapiens GN=INPP5D PE=1 SV=2	13196.89471	6255.686623	12804.96606	5760.262779	7165.508455	9195.715687	14700.95089	6456.944741	51.49900161	173.7800318	14404.33247	8409.278898	17207.89991	19055.41212	11002.70065	33769.36916
Q9Y673	7	2	35.7361	0.072373901	1.792806847	3;4	2	DH	ADK T1	Dolichyl-phosphate beta-glucosyltransferase OS=Homo sapiens GN=ALG5 PE=1 SV=1	11066.40074	6057.821238	2842.708582	4527.857429	4498.28512	4232.658393	1568.337372	14031.8225	0	0	12258.18614	1404.628698	4667.802772	5348.346775	10888.05099	2522.523779
Q96BQ1	14	7	106.8362	0.072428459	2.668019279	2;4;5	3	DI	ADK T2	Protein FAM3D OS=Homo sapiens GN=FAM3D PE=1 SV=1	1598.491775	1988.170426	1396.254096	3273.511165	2604.455749	3154.212027	2429.374806	1618.916112	5409.597315	1874.229284	1624.895132	758.322126	1338.518178	454.9387696	1241.07383	641.214286
Q14BN4	76	25	470.539	0.072437093	1.935291772	1;2;3;4;5	5	DI	ADK T1	Sarcolemmal membrane-associated protein OS=Homo sapiens GN=SLMAP PE=1 SV=1	10462.35872	9424.350335	10773.88908	7007.766144	15859.95895	12323.73981	15502.83403	28014.61611	4340.991558	15311.54968	9605.514815	7791.214726	10301.38328	16439.05788	17826.16808	8849.06295
P78371	49	20	391.6823	0.072636228	2.128119253	1;2;3;4;5	5	ADK T1	DI	T-complex protein 1 subunit beta OS=Homo sapiens GN=CCT2 PE=1 SV=4	9058.668774	7444.477464	10140.43538	13234.80704	7635.444328	8053.541492	8020.165304	8621.147684	13004.92763	32468.45057	10149.99596	13179.3572	8605.030229	11023.89863	9906.293302	16216.72835
Q9BVQ7	15	3	75.1598	0.072678786	5.848647225	3;4	2	DI	ADK T2	Spermatogenesis-associated protein 5-like protein 1 OS=Homo sapiens GN=SPATA5L1 PE=1 SV=2	484.7843111	156.1488609	163.691822	119.7761916	794.2689684	714.8087281	551.854842	992.868044	267.2612873	932.9044767	801.3411778	396.0295483	199.903521	110.7893371	211.4450765	0
Q7Z7F7	2	1	11.7101	0.07276799	Infinity	3;4	2	ADK T1	DH	39S ribosomal protein L55, mitochondrial OS=Homo sapiens GN=MRPL55 PE=1 SV=1	0	0	0	0	0	0	0	0	1373.970837	1434.243226	0	0	0	0	0	0
Q9NYK5	6	2	32.2697	0.072775271	Infinity	1;2;4;5	4	ADK T1	DH	39S ribosomal protein L39, mitochondrial OS=Homo sapiens GN=MRPL39 PE=1 SV=3	0	0	0	0	0	0	0	0	898.2121466	829.5081049	0	0	0	0	0	0
P07942	10	2	48.6727	0.072778052	Infinity	1;2	2	ADK T1	DH	Laminin subunit beta-1 OS=Homo sapiens GN=LAMB1 PE=1 SV=2	0	0	0	0	0	0	0	0	562.1219253	612.2941339	0	0	0	0	0	0
Q8TBY0	3	1	15.5541	0.072785836	Infinity	1;4	2	ADK T1	DH	Probable RNA-binding protein 46 OS=Homo sapiens GN=RBM46 PE=2 SV=1	0	0	0	0	0	0	0	0	598.7810886	668.3658227	0	0	0	0	0	0
P09543	19	7	111.222	0.07283405	6.158605244	1;2;3	3	ADK T1	ADK T2	2',3'-cyclic-nucleotide 3'-phosphodiesterase OS=Homo sapiens GN=CNP PE=1 SV=2	202.2515604	842.9416884	1476.527575	371.6533499	294.1744642	826.1400313	486.3181852	585.8739718	2802.943228	6447.619172	659.460543	854.2485317	331.3836479	158.0421976	958.9210838	299.4954875
Q9UBB5	2	1	18.2167	0.072852849	Infinity	1;2	2	ADK T1	DH	Methyl-CpG-binding domain protein 2 OS=Homo sapiens GN=MBD2 PE=1 SV=1	0	0	0	0	0	0	0	0	286.5993737	234.8076727	0	0	0	0	0	0
Q96H20	3	1	17.2791	0.072871741	Infinity	1;2	2	ADK T1	DH	Vacuolar-sorting protein SNF8 OS=Homo sapiens GN=SNF8 PE=1 SV=1	0	0	0	0	0	0	0	0	334.4485919	422.1317983	0	0	0	0	0	0
P28331	52	22	336.4292	0.072888456	2.278817814	1;2;3;4;5	5	DH	ADK T1	NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial OS=Homo sapiens GN=NDUFS1 PE=1 SV=3	38011.36187	14766.27833	11466.01859	12702.12092	9175.023741	14331.02669	9236.237449	17915.02047	6279.287289	6371.734508	14682.27778	6432.357004	7815.704129	6455.230043	13487.73961	6180.189399
P05090	7	1	41.8274	0.072899133	5.456878841	2;3	2	ADK T2	ADK T1	Apolipoprotein D OS=Homo sapiens GN=APOD PE=1 SV=1	201.9691178	421.16061	450.5475185	0	567.9666056	192.7531892	398.2774907	431.0883766	0	0	20.90716352	291.3586643	529.941776	385.4556422	411.0248205	377.5745499
P19387	4	1	20.7916	0.072905494	Infinity	4	1	ADK T1	DH	DNA-directed RNA polymerase II subunit RPB3 OS=Homo sapiens GN=POLR2C PE=1 SV=2	0	0	0	0	0	0	0	0	206.5740551	162.7722278	0	0	0	0	0	0
P00167	3	2	28.0973	0.072968658	Infinity	1;2	2	ADK T1	DH	Cytochrome b5 OS=Homo sapiens GN=CYB5A PE=1 SV=2	0	0	0	0	0	0	0	0	4004.789987	6267.237334	0	0	0	0	0	0
P07196	39	4	239.8459	0.07296954	2.852516615	1;2;3;4;5	5	ADK T2	ADK T1	Neurofilament light polypeptide OS=Homo sapiens GN=NEFL PE=1 SV=3	1641.378724	1407.792451	1381.51325	330.2688435	2161.460447	1496.696337	1327.34764	1193.19956	68.82122879	52.93766617	1420.788506	1411.28751	1860.784893	2205.11191	2227.001839	2132.964519
Q63HR2	9	2	42.7718	0.073102048	22.55492099	3	1	ADK T1	ADK T2	Tensin-like C1 domain-containing phosphatase OS=Homo sapiens GN=TENC1 PE=1 SV=2	32.91810448	95.54108524	59.48106303	236.0989183	57.17849736	219.3868802	12.07877648	55.86597096	178.2671814	542.162852	0	24.98785181	0	1.60208895	0	31.44692441
P49821	23	9	164.4863	0.073116017	4.698851972	1;2;3;4;5	5	ADK T1	ADK T2	NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial OS=Homo sapiens GN=NDUFV1 PE=1 SV=4	3968.126913	2995.357269	3576.195316	3416.875332	4764.376162	9046.991842	2423.344562	3081.231536	21107.11026	3225.914037	4421.616325	2299.619472	1925.300864	1461.663526	2054.706924	1167.232367
Q13162	15	9	135.6523	0.07313541	3.274672044	1;2;3;4;5	5	ADK T1	DH	Peroxiredoxin-4 OS=Homo sapiens GN=PRDX4 PE=1 SV=1	4232.237013	3236.355236	3226.353772	371.5926601	2922.293463	3596.314639	2264.091057	4916.732557	15143.1627	8401.261299	8211.197891	4483.662948	2251.127882	7473.532932	6157.739303	5705.920324
Q96CN5	14	1	80.7615	0.073158818	Infinity	1;2	2	DI	DH	Leucine-rich repeat-containing protein 45 OS=Homo sapiens GN=LRRC45 PE=2 SV=1	0	0	0	0	124.9372239	87.06393218	0	0	0	0	0	0	0	0	0	0
Q8IZ81	5	1	27.7839	0.073186228	Infinity	2;4	2	ADK T1	DH	ELMO domain-containing protein 2 OS=Homo sapiens GN=ELMOD2 PE=1 SV=1	0	0	0	0	0	0	0	0	152.0858812	230.1744314	0	0	0	0	0	0
Q9Y2Q9	5	1	35.2616	0.073306929	Infinity	2;3;4	3	ADK T1	DH	28S ribosomal protein S28, mitochondrial OS=Homo sapiens GN=MRPS28 PE=1 SV=1	0	0	0	0	0	0	0	0	0	121.4524514	79.86858784	0	0	0	0	0
Q9UHR6	2	1	10.8858	0.073426639	Infinity	3	1	ADK T1	DH	Zinc finger HIT domain-containing protein 2 OS=Homo sapiens GN=ZNHIT2 PE=1 SV=1	0	0	0	0	0	0	0	0	464.9180459	869.9450202	0	0	0	0	0	0
Q14CN4	10	1	64.6028	0.073468711	Infinity	3;4	2	ADK T1	DH	Keratin, type II cytoskeletal 72 OS=Homo sapiens GN=KRT72 PE=1 SV=2	0	0	0	0	0	0	0	0	129.8478608	0	0	80.27994196	0	0	0	0
Q06203	5	2	24.4309	0.073597393	4.978542099	2;3;4	3	ADK T1	DH	Amidophosphoribosyltransferase OS=Homo sapiens GN=PPAT PE=1 SV=1	274.5913148	85.40635276	40.71354095	0	43.75147598	56.50112195	54.5646973	374.8409634	610.7706712	277.1653008	830.1745651	276.8470838	466.1666915	429.134061	291.2566692	189.2393015
Q9Y6F7	4	1	17.9699	0.073781834	Infinity	1;3	2	ADK T1	DH	Testis-specific chromodomain protein Y 2 OS=Homo sapiens GN=CDY2A PE=1 SV=1	0	0	0	0	0	0	0	0	443.9327689	220.5556589	0	0	0	0	0	0
Q86U42	10	2	66.7176	0.073985985	2.62155388	3;4	2	ADK T2	ADK T1	Polyadenylate-binding protein 2 OS=Homo sapiens GN=PABPN1 PE=1 SV=3	1045.469029	1640.18428	377.2591255	2097.622855	1305.61671	840.4077598	1377.846218	1385.989371	231.9093819	361.0615031	1604.823425	637.4212392	1647.057912	2201.093816	1437.580561	2146.938036
Q9C002	4	1	36.3902	0.073997704	Infinity	1;5	2	ADK T1	DH	Normal mucosa of esophagus-specific gene 1 protein OS=Homo sapiens GN=NMES1 PE=2 SV=1	0	0	0	0	0	0	0	0	844.4262555	2173.233602	0	0	0	0	0	0
Q9NVS9	9	1	58.2106	0.074012392	Infinity	1;2;3;4	4	ADK T1	DH	Pyridoxine-5'-phosphate oxidase OS=Homo sapiens GN=PNPO PE=1 SV=1	0	0	0	0	0	0	0	0	2137.436605	827.6976175	0	0	0	0	0	0
Q96BP3	5	1	27.7989	0.07408104	Infinity	1;2	2	ADK T1	DH	Peptidylprolyl isomerase domain and WD repeat-containing protein 1 OS=Homo sapiens GN=PPWD1 PE=1 SV=1	0	0	0	0	0	0	0	0	747.9051058	1958.688268	0	0	0	0	0	0
Q99986	8	3	50.9517	0.074094087	Infinity	2;4	2	ADK T1	DH	Serine/threonine-protein kinase VRK1 OS=Homo sapiens GN=VRK1 PE=1 SV=1	0	0	0	0	0	0	0	0	677.634478	291.6259791	0	0	0	0	0	0
P41567;O60739	3	2	44.1473	0.074102768	Infinity	1;2;3	3	ADK T1	DH	Eukaryotic translation initiation factor 1 OS=Homo sapiens GN=EIF1 PE=1 SV=1	0	0	0	0	0	0	0	0	2483.619008	7693.185776	0	0	0	0	0	0
P42167	24	8	180.6327	0.074127468	8.764927758	1;2;3;4;5	5	ADK T1	DI	Lamina-associated polypeptide 2, isoforms beta/gamma OS=Homo sapiens GN=TMPO PE=1 SV=2	409.9485847	173.8161836	330.3766519	135.3930271	303.280384	44.07085362	19.39382309	144.3502029	607.5325965	2581.157055	740.5972624	550.426149	211.7393365	19.26696839	482.2138884	1139.221104
O94979	30	12	177.2853	0.074264447	1.41034728	1;2;3;4	4	ADK T2	DH	Protein transport protein Sec31A OS=Homo sapiens GN=SEC31A PE=1 SV=3	3127.810113	3225.981204	4379.619886	3895.594754	5034.116376	3696.936166	3254.482296	3639.115057	4209.443518	3218.721842	5660.58541	4728.621479	5082.022706	4914.007108	4665.944825	5970.004118
Q16875	9	1	53.6786	0.074363003	Infinity	1;2;3	3	ADK T1	DH	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3 OS=Homo sapiens GN=PFKFB3 PE=1 SV=1	0	0	0	0	0	0	0	0	539.5966746	1496.532934	0	0	0	0	0	0
P29120	3	2	17.2296	0.074382382	Infinity	2	1	ADK T2	DH	Neuroendocrine convertase 1 OS=Homo sapiens GN=PCSK1 PE=1 SV=2	0	0	0	0	0	0	0	0	0	0	0	0	279.2902686	0	124.1567364	0
Q9UBC5	46	12	277.8024	0.074400353	76.0931052	1;2;3;4;5	5	DH	ADK T1	Unconventional myosin-Ia OS=Homo sapiens GN=MYO1A PE=1 SV=1	137404.6534	2872.36813	918.8450845	206654.3304	801.7928734	806.2673093	1666.599696	2191.617496	1807.472174	567.7586709	1074.813004	1121.33218	895.0774995	6084.91604	1585.947336	3273.977714
Q9Y3A6	3	3	26.6119	0.074623703	45442.58161	3;4	2	ADK T1	DH	Transmembrane emp24 domain-containing protein 5 OS=Homo sapiens GN=TMED5 PE=1 SV=1	0	0.069753149	0	0	0	0.03917387	0	0.254812506	3156.517078	10.00693592	3.239138732	0	0	1.196314306	0.423754544	0
Q9Y512	24	9	148.0862	0.074690016	2.299143894	1;2;3;4;5	5	DI	ADK T2	Sorting and assembly machinery component 50 homolog OS=Homo sapiens GN=SAMM50 PE=1 SV=3	2016.870943	1349.867454	1874.265721	1054.951271	1799.867666	1593.88207	2971.608446	3313.859747	597.6757422	1577.252684	1516.339006	2079.230146	658.2050532	1606.515987	1094.964902	850.2366959
P01275	7	5	41.8602	0.074776712	73.9627375	1;2;5	3	DH	ADK T1	Glucagon OS=Homo sapiens GN=GCG PE=1 SV=3	1488.508772	2422.000563	12510.50331	2431.957793	0	1245.804292	3127.633118	81.65216631	0	0	12.38030818	242.5179159	0	789.2003232	0	519.9702433
P61160	24	9	198.0775	0.074786693	1.887384974	1;2;3;4;5	5	ADK T1	DH	Actin-related protein 2 OS=Homo sapiens GN=ACTR2 PE=1 SV=1	8276.256148	6869.962015	7119.693883	7554.341113	6720.797803	9042.540589	7571.604987	11906.79632	21792.60847	12907.71694	12737.82786	8844.144468	7147.946461	12848.96349	13063.39292	6846.625988
P28358	3	1	14.1784	0.074794081	10.13403999	3;5	2	DH	ADK T1	Homeobox protein Hox-D10 OS=Homo sapiens GN=HOXD10 PE=1 SV=2	2526.057404	1591.605104	1476.611788	1699.812856	1357.071247	765.9554386	11.92102644	862.3450292	0	0	712.9222324	6.838806736	2325.019762	12.38223488	884.8783051	0
P12036	26	4	149.6925	0.074848615	3.056175874	1;2;3;4;5	5	DH	ADK T1	Neurofilament heavy polypeptide OS=Homo sapiens GN=NEFH PE=1 SV=4	2039.845847	1773.831371	1169.169426	1466.113667	1318.957593	1095.566408	712.3575967	2941.235502	437.2022927	414.329684	880.8234945	377.7849709	973.6267968	212.305628	1286.286083	36.63236088
O94993	3	1	13.0045	0.074855431	Infinity	5	1	ADK T1	DH	Transcription factor SOX-30 OS=Homo sapiens GN=SOX30 PE=1 SV=1	0	0	0	0	0	0	0	0	127.9725967	57.46450232	0	0	0	0	0	0
Q6DKK2	5	1	32.2895	0.075026046	Infinity	1;2;3;4	4	ADK T2	DH	Tetratricopeptide repeat protein 19, mitochondrial OS=Homo sapiens GN=TTC19 PE=1 SV=4	0	0	0	0	0	0	0	0	0	0	0	0	18.74221441	0	0	35.49670546
P11215	18	1	100.5585	0.075085494	5.045299377	4;5	2	ADK T2	DH	Integrin alpha-M OS=Homo sapiens GN=ITGAM PE=1 SV=2	88.77001922	14.9442542	0	31.47387636	243.3272247	134.4769509	95.15123953	90.69344957	0	0	19.94572834	207.407678	98.01378852	134.4234798	374.7150421	74.91237753
P51665	7	2	41.3989	0.075355562	Infinity	1;2;3	3	ADK T1	DH	26S proteasome non-ATPase regulatory subunit 7 OS=Homo sapiens GN=PSMD7 PE=1 SV=2	0	0	0	0	0	0	0	0	506.2416471	1879.590807	0	0	0	0	0	0
P07339	32	13	277.3396	0.075523174	2.252124603	1;2;3;4;5	5	ADK T1	DI	Cathepsin D OS=Homo sapiens GN=CTSD PE=1 SV=1	6994.258891	8675.149364	9136.074672	5803.5587	6264.233849	6359.277324	5123.359412	6973.70558	14609.64999	25414.7827	6900.078059	8749.307041	6857.220382	13940.11336	8671.242463	13923.32948
P09429	14	4	134.6813	0.075575732	26.60154872	1;2;3;5	4	ADK T1	DI	High mobility group protein B1 OS=Homo sapiens GN=HMGB1 PE=1 SV=3	544.0734636	455.4011744	392.7939186	0	271.9596117	209.0164078	183.3532425	171.1244186	13043.78687	7318.454254	1117.087972	745.0326978	802.1217885	2561.526711	498.8749592	1598.130644
Q14974	37	22	281.3491	0.075653954	1.538673898	1;2;3;4;5	5	ADK T1	DH	Importin subunit beta-1 OS=Homo sapiens GN=KPNB1 PE=1 SV=2	9912.989372	11380.53013	14585.20105	7677.598851	9755.015878	9154.551126	14983.88695	10160.6779	15419.33754	21131.21383	16640.27597	13828.14444	10304.05874	11719.78991	14026.80826	20430.40743
P68366	28	4	293.0341	0.075665938	2.695213217	1;2;3;4;5	5	ADK T2	ADK T1	Tubulin alpha-4A chain OS=Homo sapiens GN=TUBA4A PE=1 SV=1	3639.112383	3366.360715	3795.36373	8271.769977	4211.871206	3075.608324	4335.468978	4443.641972	7.906562554	1.778417476	4940.667733	3293.52506	1643.950115	6501.456763	6200.326069	7873.275385
P43250	5	3	34.6923	0.076222936	9524.218243	1	1	ADK T1	DI	G protein-coupled receptor kinase 6 OS=Homo sapiens GN=GRK6 PE=1 SV=2	0	10.89864939	0	0	3.503859893	0	0	0	17250.65672	16102.75067	18.11892399	0	547.447304	0	16.5556733	61.95653147
Q8N6L0	2	2	10.6262	0.077070335	17.52536758	3	1	ADK T1	ADK T2	Coiled-coil domain-containing protein 155 OS=Homo sapiens GN=CCDC155 PE=2 SV=2	3.623277451	4.03176365	0	4.875537976	0	3.218965493	2.528985617	10.76654	8.725427149	79.05602098	88.6421168	2.816226281	6.894228922	1.948087194	0	1.385132206
Q13442	8	2	66.8741	0.07712265	Infinity	1;2;3	3	ADK T1	DH	28 kDa heat- and acid-stable phosphoprotein OS=Homo sapiens GN=PDAP1 PE=1 SV=1	0	0	0	0	0	0	0	0	3.113799545	5.048530932	0	0	0	0	0	0
Q9NQG5	9	3	64.2339	0.077316076	4.357162953	1;2;3;4;5	5	DH	ADK T1	Regulation of nuclear pre-mRNA domain-containing protein 1B OS=Homo sapiens GN=RPRD1B PE=1 SV=1	463.3160278	387.6192884	177.9884189	411.6722911	829.6020514	256.3151	60.74350522	27.98746689	252.9509848	0	0	77.67608649	396.0742999	141.872554	36.96034594	319.2615927
Q8WVS4	9	3	41.7952	0.077419571	567.5557908	1;2	2	DH	DI	WD repeat-containing protein 60 OS=Homo sapiens GN=WDR60 PE=1 SV=3	5.185872978	6.447721345	0	3804.896254	0	6.724501645	0	0	122.5711419	126.8032717	85.80391381	103.4094659	24.97065515	0	32.27263379	35.49484719
Q6P1N0	17	2	90.8952	0.077656017	Infinity	1;2;3	3	ADK T1	DH	Coiled-coil and C2 domain-containing protein 1A OS=Homo sapiens GN=CC2D1A PE=1 SV=1	0	0	0	0	0	0	0	0	175.4504397	0	0	50.58380416	0	0	0	0
P84090	3	1	30.8739	0.077716509	Infinity	1	1	ADK T1	DH	Enhancer of rudimentary homolog OS=Homo sapiens GN=ERH PE=1 SV=1	0	0	0	0	0	0	0	0	552.6588808	123.9026464	0	0	0	0	0	0
Q14192	5	2	30.6686	0.077776044	573.9168043	2;3	2	ADK T1	DH	Four and a half LIM domains protein 2 OS=Homo sapiens GN=FHL2 PE=1 SV=3	1.392828934	1.833250199	13.65989946	0	4.399051605	17.47068863	10.44889403	5.331116398	9522.099896	4.530616443	18.74680016	145.7695577	53.68744923	4.538872192	13.20110424	17.55442202
Q9H0V9	5	2	24.6085	0.077807116	33.77690632	1;2;5	3	ADK T1	ADK T2	VIP36-like protein OS=Homo sapiens GN=LMAN2L PE=1 SV=1	150.3776173	659.4866931	80.24564479	34.59718196	77.95621888	322.5028754	129.1919347	389.9132072	4566.798051	7052.02879	224.3917216	228.7820532	213.9820225	53.6170285	89.8049249	0
P17480	11	3	59.7968	0.077940219	Infinity	1;2	2	ADK T1	DH	Nucleolar transcription factor 1 OS=Homo sapiens GN=UBTF PE=1 SV=1	0	0	0	0	0	0	0	0	161.4956037	805.1909467	0	0	0	0	0	0
Q7RTV0	2	2	13.1839	0.077975725	Infinity	1	1	ADK T1	DH	PHD finger-like domain-containing protein 5A OS=Homo sapiens GN=PHF5A PE=1 SV=1	0	0	0	0	0	0	0	0	620.0106356	131.0146653	0	0	0	0	0	0
A0MZ66	33	10	195.4104	0.078566254	2.479861053	1;2;3;5	4	DI	ADK T1	Shootin-1 OS=Homo sapiens GN=KIAA1598 PE=1 SV=4	3417.143862	10687.24435	10044.86315	11343.79253	9030.920748	8753.99106	16712.25985	9008.84483	618.9960563	10551.91121	2969.748608	3403.075631	4595.168413	3615.223998	6598.824171	4197.673422
P06870	5	2	27.2875	0.078857129	Infinity	1;2	2	ADK T1	DH	Kallikrein-1 OS=Homo sapiens GN=KLK1 PE=1 SV=2	0	0	0	0	0	0	0	0	22.01832469	69.89183141	0	0	0	0	0	0
Q86UX2	2	1	10.4909	0.078882304	14.0533925	2	1	DI	ADK T1	Inter-alpha-trypsin inhibitor heavy chain H5 OS=Homo sapiens GN=ITIH5 PE=2 SV=2	0	197.5437371	0	0	163.8951885	171.1692771	21.64719294	124.090022	0	0	4.683842004	29.52865725	25.06060578	8.926662341	13.09007494	0
Q16695	13	1	105.0407	0.0789051	Infinity	1;2;3;4;5	5	ADK T1	DH	Histone H3.1t OS=Homo sapiens GN=HIST3H3 PE=1 SV=3	0	0	0	0	0	0	0	0	0	0	15.30432049	43.71017283	0	0	0	0
Q9UNF0	26	6	165.7276	0.078918086	18.99497292	1;2;3;4	4	ADK T1	ADK T2	Protein kinase C and casein kinase substrate in neurons protein 2 OS=Homo sapiens GN=PACSIN2 PE=1 SV=2	310.9696541	152.0976776	429.7708475	672.7103556	274.0922562	204.7493758	233.5909299	249.2463119	2075.844251	5495.584951	126.51275	234.4322283	157.7004165	101.5283832	152.8138921	5.561177099
Q969V3	13	5	72.5858	0.079077214	21.50156246	2;3	2	ADK T1	DH	Nicalin OS=Homo sapiens GN=NCLN PE=1 SV=2	161.8420309	407.1240918	62.9954379	546.0099434	243.8129879	368.367359	409.6671863	290.77542	1675.575769	22658.06312	705.3029808	289.2860027	303.0968645	184.6124392	345.9866607	387.426292
P55795	16	2	147.1828	0.079337761	250.6075643	1;2;3;4;5	5	ADK T1	DI	Heterogeneous nuclear ribonucleoprotein H2 OS=Homo sapiens GN=HNRNPH2 PE=1 SV=1	0	0	155.414664	0	0	34.86606081	0	0	7026.775833	1510.709864	6.050006043	194.1628749	0	17.70404489	751.7252445	0
O43290	22	5	122.2992	0.079506442	7.830197873	1;3;4	3	ADK T1	DH	U4/U6.U5 tri-snRNP-associated protein 1 OS=Homo sapiens GN=SART1 PE=1 SV=1	101.531438	0.905015497	3.576358068	33.70798227	185.1030838	68.6197464	8.673262642	29.90681252	681.1085199	49.78642362	138.0607962	225.0857229	42.93317302	28.47706816	84.61917208	38.10435233
Q9H7C9	6	2	41.2451	0.079580374	Infinity	1;2;3;4	4	ADK T1	DI	UPF0366 protein C11orf67 OS=Homo sapiens GN=C11orf67 PE=1 SV=1	0	0	0	0.606907161	0	0	0	0	618.5894173	294.0696855	0	0	0	0	0	0
P35659	13	5	79.0436	0.079694043	4.100080617	1;2;4	3	ADK T1	DH	Protein DEK OS=Homo sapiens GN=DEK PE=1 SV=1	893.3602178	864.8884471	719.3091273	42.50089285	543.9562611	1180.318992	1175.88639	855.6960106	5039.299538	2454.298812	2102.181406	736.6640124	699.2905662	2711.331674	2376.817408	3925.849595
Q9NZN4	39	22	367.8547	0.079718285	1.995229723	1;2;3;4;5	5	DI	ADK T2	EH domain-containing protein 2 OS=Homo sapiens GN=EHD2 PE=1 SV=2	33859.82429	32069.16477	35848.75976	18217.14717	35929.01678	36385.86565	28191.74512	52372.84085	28457.89874	39515.68038	19944.60979	15126.3683	10295.83618	15641.86065	24958.8757	25725.91691
P02671	52	22	424.0852	0.080064695	1.914719308	1;2;3;4;5	5	DI	ADK T1	Fibrinogen alpha chain OS=Homo sapiens GN=FGA PE=1 SV=2	53892.91125	54283.28578	63468.46187	28059.56998	75358.25784	37484.68263	56895.7643	69335.33154	26986.77667	41775.45275	24913.09269	31185.81828	34138.03678	37271.7013	73270.25533	47866.53756
O15260	2	1	13.9709	0.080276371	3.161553927	5	1	ADK T1	ADK T2	Surfeit locus protein 4 OS=Homo sapiens GN=SURF4 PE=1 SV=3	797.5584733	62.58201657	558.9359966	793.9110669	557.1222651	740.4169302	704.0143613	921.0646387	1421.593719	2209.571846	825.036398	2164.610692	1008.270596	501.0648695	358.1161437	226.7124653
Q05469	6	1	32.4808	0.080418522	Infinity	2	1	ADK T1	DH	Hormone-sensitive lipase OS=Homo sapiens GN=LIPE PE=1 SV=4	0	0	0	0	0	64.16732714	1857.216979	1962.391595	803.5110812	3568.032699	1081.130004	0	0	0	17.82214209	414.9078456
